日期,成交,漲跌,漲跌,成交量(張),外資買進(張),賣出,外資買賣進(張),持有,持股,投信買進(張),投信賣出,投信買賣超,自營商買進,賣出,自營商買賣超,三大法人合計買進,三大法人合計賣,三大法人合計買賣
2023/4/6,121,-0.6,-0.49,"8,077",187,"3,280","-3,094","79,442",3.47,"1,000",0,"1,000",267,"2,864","-2,597","1,454","6,144","-4,691"
2023/4/7,121,0,0,"4,623",44.9,"1,179","-1,134","78,354",3.42,"1,600",0,"1,600","1,045",716,329,"2,690","1,895",795
2023/4/10,121,0,0,"4,503",220,581,-361,"77,942",3.4,0,0,0,"1,203",519,683,"1,423","1,100",323
2023/4/11,120.85,-0.15,-0.12,"6,233",801,662,139,"78,059",3.41,0,0,0,"2,863",540,"2,323","3,664","1,202","2,462"
2023/4/12,120.55,-0.3,-0.25,"3,247",35.8,"1,584","-1,548","78,996",3.45,0,0,0,497,522,-25,533,"2,106","-1,573"
2023/4/13,119.5,-1.05,-0.87,"7,509",145,"2,976","-2,831","76,165",3.33,0,0,0,337,"2,320","-1,983",482,"5,296","-4,814"
2023/4/14,120.65,1.15,0.96,"3,290",323,284,38.5,"76,185",3.33,0,0,0,"1,209",363,846,"1,532",647,885
2023/4/17,120.35,-0.3,-0.25,"6,061",9.45,"3,812","-3,803","72,400",3.15,0,0,0,542,"1,167",-625,552,"4,979","-4,428"
2023/4/18,119.95,-0.4,-0.33,"5,184",406,"2,786","-2,380","75,095",3.27,200,500,-300,678,814,-136,"1,284","4,100","-2,816"
2023/4/19,119.05,-0.9,-0.75,"8,700",815,"3,016","-2,200","72,883",3.17,0,0,0,512,"1,846","-1,334","1,327","4,861","-3,534"
2023/4/20,118.9,-0.15,-0.13,"7,082",666,"5,359","-4,693","68,159",2.97,0,0,0,"1,352",640,712,"2,018","5,999","-3,981"
2023/4/21,118.6,-0.3,-0.25,"5,327",310,"1,952","-1,642","66,477",2.89,0,200,-200,731,"1,558",-827,"1,041","3,710","-2,669"
2023/4/24,118.15,-0.45,-0.38,"7,309",178,"4,420","-4,242","54,735",2.38,0,150,-150,341,"1,103",-762,519,"5,673","-5,154"
2023/4/25,116.6,-1.55,-1.31,"21,039",261,"14,794","-14,533","51,913",2.26,0,0,0,606,"3,814","-3,208",867,"18,608","-17,742"
2023/4/26,116.1,-0.5,-0.43,"14,210",530,"7,061","-6,531","50,475",2.19,150,0,150,"1,247","4,937","-3,690","1,927","11,998","-10,071"
2023/4/27,116,-0.1,-0.09,"10,274",406,"6,980","-6,574","43,286",1.87,0,0,0,765,"1,940","-1,175","1,171","8,920","-7,749"
2023/4/28,117.4,1.4,1.21,"6,023",178,"2,912","-2,734","45,653",1.97,0,0,0,"1,017",882,135,"1,195","3,794","-2,599"
2023/5/2,117.7,0.3,0.26,"5,573",642,"1,378",-736,"41,100",1.77,0,"1,050","-1,050",464,"1,421",-957,"1,106","3,849","-2,743"
2023/5/3,117.2,-0.5,-0.42,"4,652",103,"1,924","-1,820","43,256",1.86,0,0,0,156,"1,571","-1,415",259,"3,495","-3,236"
2023/5/4,117.5,0.3,0.26,"3,888","1,170",490,680,"43,884",1.87,100,0,100,456,759,-303,"1,726","1,249",477
2023/5/5,117.8,0.3,0.26,"2,550",193,380,-186,"43,657",1.86,0,0,0,213,565,-352,406,944,-538
2023/5/8,118.55,0.75,0.64,"6,287",425,"1,434","-1,009","42,625",1.82,160,0,160,937,870,67.2,"1,522","2,304",-782
2023/5/9,118.9,0.35,0.3,"4,828",896,662,235,"42,830",1.83,0,0,0,"1,996",196,"1,800","2,892",858,"2,035"
