日期,淨值(元)
2023/12/29,136.2
2023/12/28,136.1
2023/12/27,135.94
2023/12/26,134.55
2023/12/25,133.54
2023/12/22,133.32
2023/12/21,132.7
2023/12/20,133.74
2023/12/19,133.66
2023/12/18,133.93
2023/12/15,133.99
2023/12/14,133.63
2023/12/13,131.8
2023/12/12,131.72
2023/12/11,131.36
2023/12/8,130.92
2023/12/7,130.07
2023/12/6,130.77
2023/12/5,130.6
2023/12/4,131.39
2023/12/1,131.9
2023/11/30,131.97
2023/11/29,131.48
2023/11/28,131.44
2023/11/27,130.09
2023/11/24,131.33
2023/11/23,131.46
2023/11/22,131.61
2023/11/21,132.79
2023/11/20,130.91
2023/11/17,131.09
2023/11/16,131.09
2023/11/15,130.9
2023/11/14,129.19
2023/11/13,128.74
2023/11/10,126.92
2023/11/9,127.34
2023/11/8,127.19
2023/11/7,126.76
2023/11/6,126.3
2023/11/3,125.56
2023/11/2,124.73
2023/11/1,121.48
2023/10/31,121.38
2023/10/30,122.12
2023/10/27,122.21
2023/10/26,121.71
2023/10/25,123.99
2023/10/24,123.81
2023/10/23,123.73
2023/10/20,125.69
2023/10/19,125.16
2023/10/18,124.79
2023/10/17,126.52
2023/10/16,126.24
2023/10/13,127.32
2023/10/12,127.37
2023/10/11,126.3
2023/10/6,124.29
2023/10/5,123.57
2023/10/4,122.02
2023/10/3,123.62
2023/10/2,124.4
2023/9/28,122.58
2023/9/27,122.3
2023/9/26,121.93
2023/9/25,123.4
2023/9/22,122.6
2023/9/21,122.84
2023/9/20,124.57
2023/9/19,125.35
2023/9/18,125.74
2023/9/15,128.13
2023/9/14,127.01
2023/9/13,124.86
2023/9/12,125.14
2023/9/11,123.72
2023/9/8,124.45
2023/9/7,124.87
2023/9/6,125.94
2023/9/5,126.49
2023/9/4,126.88
2023/9/1,125.57
2023/8/31,125.4
2023/8/30,126.5
2023/8/29,125.92
2023/8/28,125.23
2023/8/25,124.55
2023/8/24,127.25
2023/8/23,125.18
2023/8/22,123.91
2023/8/21,123.38
2023/8/18,123.67
2023/8/17,124.49
2023/8/16,124.35
2023/8/15,124.54
2023/8/14,124.66
2023/8/11,125.81
2023/8/10,126.36
2023/8/9,127.31
2023/8/8,126.95
2023/8/7,128.04
2023/8/4,127.23
2023/8/2,127.95
2023/8/1,129.83
2023/7/31,128.81
2023/7/28,129.45
2023/7/27,129.29
2023/7/26,128.88
2023/7/25,129
2023/7/24,127.28
2023/7/21,127.3
2023/7/20,129.48
2023/7/19,129.53
2023/7/18,130.09
2023/7/17,132.87
2023/7/14,132.62
2023/7/13,130.99
2023/7/12,130.08
2023/7/11,129.58
2023/7/10,127.28
2023/7/7,127.45
2023/7/6,127.88
2023/7/5,130.86
2023/7/4,131.48
2023/7/3,130.54
2023/6/30,129.46
2023/6/29,129.28
2023/6/28,129.47
2023/6/27,129.08
2023/6/26,129.76
2023/6/21,131.01
2023/6/20,131.18
2023/6/19,131.56
2023/6/16,131.85
2023/6/15,132.31
2023/6/14,131.66
2023/6/13,131.77
2023/6/12,129.15
2023/6/9,128.09
2023/6/8,126.95
2023/6/7,128.42
2023/6/6,126.94
2023/6/5,126.26
2023/6/2,126.72
2023/6/1,125.03
2023/5/31,125.99
2023/5/30,126.93
2023/5/29,126.95
2023/5/26,126.32
2023/5/25,123.51
2023/5/24,121.84
2023/5/23,122.42
2023/5/22,122.51
2023/5/19,122.75
2023/5/18,122.27
2023/5/17,120.6
2023/5/16,118.42
2023/5/15,116.81
2023/5/12,116.88
2023/5/11,117.44
2023/5/10,118.13
2023/5/9,119.07
2023/5/8,118.33
2023/5/5,117.65
2023/5/3,116.97
2023/5/2,117.6
2023/4/28,117.48
2023/4/27,116.07
2023/4/26,115.81
2023/4/25,116.33
2023/4/24,118.18
2023/4/21,118.41
2023/4/20,118.88
2023/4/19,118.83
2023/4/18,119.79
2023/4/17,120.65
2023/4/14,120.47
2023/4/13,119.33
2023/4/12,120.56
2023/4/11,120.86
2023/4/10,120.95
2023/4/7,120.97
2023/4/6,120.9
2023/3/31,121.66
2023/3/30,121.64
2023/3/29,120.97
2023/3/28,120.26
2023/3/27,121.27
2023/3/24,122.41
2023/3/23,122.1
2023/3/22,121.13
2023/3/21,118.75
2023/3/20,118.02
2023/3/17,118.83
2023/3/16,116.73
2023/3/15,117.54
2023/3/14,117.32
2023/3/13,118.91
2023/3/10,118.41
2023/3/9,120.23
2023/3/8,120.5
2023/3/7,121.1
2023/3/6,120.34
2023/3/3,119.13
2023/3/2,119.32
2023/3/1,119.64
2023/2/24,118.09
2023/2/23,119.34
2023/2/22,117.63
2023/2/21,119.04
2023/2/20,119.15
2023/2/17,118.9
2023/2/16,119.94
2023/2/15,119.29
2023/2/14,121.91
2023/2/13,121
2023/2/10,121.48
2023/2/9,120.98
2023/2/8,121.09
2023/2/7,118.7
2023/2/6,118.98
2023/2/3,121.36
2023/2/2,121.22
2023/2/1,119.71
2023/1/31,118.35
2023/1/30,121.46
2023/1/17,118.21
2023/1/16,118.38
2023/1/13,117.38
2023/1/12,116.01
2023/1/11,116.01
2023/1/10,116.45
2023/1/9,115.78
2023/1/6,111.82
2023/1/5,111.23
2023/1/4,109.99
2023/1/3,110.52
