日期,加權指數,加權指數成交量
2023/1/3,14224.12012,1816400
2023/1/4,14199.12988,2073800
2023/1/5,14301.0498,2086500
2023/1/6,14373.33984,1741200
2023/1/9,14752.20996,2581100
2023/1/10,14802.95996,2069800
2023/1/11,14751.44043,1986800
2023/1/12,14731.63965,1812900
2023/1/13,14824.12988,1786500
2023/1/16,14927.00977,1611600
2023/1/17,14932.92969,1772600
2023/1/30,15493.82031,3697500
2023/1/31,15265.2002,3357200
2023/2/1,15420.12988,3009800
2023/2/2,15595.16016,3248500
2023/2/3,15602.66016,2647300
2023/2/6,15392.82031,2320600
2023/2/7,15400.91016,2251800
2023/2/8,15618.16992,2514500
2023/2/9,15598.70996,2236100
2023/2/10,15586.65039,2483000
2023/2/13,15544.28027,2184300
2023/2/14,15654.48047,2077800
2023/2/15,15432.88965,2438100
2023/2/16,15550.5,2883000
2023/2/17,15479.7002,2528300
2023/2/20,15551.23047,2994900
2023/2/21,15563,2997300
2023/2/22,15418.76953,2881300
2023/2/23,15615.41016,3012200
2023/2/24,15503.79004,2717600
2023/3/1,15598.49023,3062600
2023/3/2,15598.71973,2664900
2023/3/3,15608.41992,3025100
2023/3/6,15763.50977,3095600
2023/3/7,15857.88965,2944000
2023/3/8,15818.2002,3091600
2023/3/9,15770.66016,3556200
2023/3/10,15526.2002,3932200
2023/3/13,15560.49023,3141600
2023/3/14,15360.41992,3097800
2023/3/15,15387.58984,2998000
2023/3/16,15221.12012,3443900
2023/3/17,15452.95996,3434700
2023/3/20,15419.96973,2433600
2023/3/21,15513.4502,2773500
2023/3/22,15760.45996,2773200
2023/3/23,15863.9502,2652800
2023/3/24,15914.7002,2914300
2023/3/27,15830.30957,2706800
2023/3/28,15701.48047,2545400
2023/3/29,15769.75977,2376300
2023/3/30,15849.42969,2266900
2023/3/31,15868.05957,2440300
2023/4/6,15810.76953,2513500
2023/4/7,15836.5,2199900
2023/4/10,15876.16992,2220400
2023/4/11,15913.87988,2744200
2023/4/12,15932.96973,3138100
2023/4/13,15804.75977,3825100
2023/4/14,15929.42969,3492400
2023/4/17,15963.5498,3396900
2023/4/18,15869.44043,3344600
2023/4/19,15770.46973,3554800
2023/4/20,15707.51953,3170900
2023/4/21,15602.99023,3512500
2023/4/24,15626.87012,2474500
2023/4/25,15370.73047,3449300
2023/4/26,15374.62988,2745800
2023/4/27,15411.49023,2616700
2023/4/28,15579.17969,2999300
2023/5/2,15636.48047,2915700
2023/5/3,15553.41016,2511600
2023/5/4,15609.03027,2461600
2023/5/5,15626.07031,2294100
2023/5/8,15699.57031,2829600
2023/5/9,15727.7002,2864700
2023/5/10,15641.75977,2366700
