,日期,收盤價,漲跌價,漲跌幅,成交量(張),外資買賣進(張),投信買賣超,自營商買賣超,成交筆數,淨值(元),加權指數,加權指數成交量,0050聲量,nasdaQ Close,nasdaQ Volume,SP 500 Close,SP 500 Volume,大戶散戶比例
0,2023-04-06,121.0,-0.6,-0.0049,8077.0,-3094.0,1000.0,-2597.0,15029.0,120.9,15810.76953,2513500,56.85714285714286,12087.95996,3862800000,4105.02002,3486690000,0.5374276398962007
1,2023-04-10,121.0,0.0,0.0,4503.0,-361.0,0.0,683.0,10059.0,120.95,15876.16992,2220400,68.14285714285714,12084.36035,4334070000,4109.109863,3423650000,0.44765881300328064
2,2023-04-11,120.85,-0.15,-0.0012,6233.0,139.0,0.0,2323.0,7741.0,120.86,15913.87988,2744200,68.28571428571429,12031.87988,4676960000,4108.939941,3665830000,0.8051931275029066
3,2023-04-12,120.55,-0.3,-0.0025,3247.0,-1548.0,0.0,-25.0,8438.0,120.56,15932.96973,3138100,68.42857142857143,11929.33984,4909770000,4091.949951,3633120000,0.3848068262621474
4,2023-04-13,119.5,-1.05,-0.0087,7509.0,-2831.0,0.0,-1983.0,20441.0,119.33,15804.75977,3825100,68.57142857142857,12166.26953,4942990000,4146.220215,3596590000,0.36734993395626436
5,2023-04-14,120.65,1.15,0.0096,3290.0,38.5,0.0,846.0,5326.0,120.47,15929.42969,3492400,68.71428571428571,12123.46973,4655740000,4137.640137,3575690000,0.617724371010139
6,2023-04-17,120.35,-0.3,-0.0025,6061.0,-3803.0,0.0,-625.0,10622.0,120.65,15963.5498,3396900,70.0,12157.71973,4823180000,4151.319824,3611180000,0.5706081717190736
7,2023-04-18,119.95,-0.4,-0.0033,5184.0,-2380.0,-300.0,-136.0,8973.0,119.79,15869.44043,3344600,71.0,12153.41016,4851810000,4154.870117,3536640000,0.5777331995987964
8,2023-04-19,119.05,-0.9,-0.0075,8700.0,-2200.0,0.0,-1334.0,22007.0,118.83,15770.46973,3554800,72.0,12157.23047,4972700000,4154.52002,3572560000,0.39532875903121734
9,2023-04-20,118.9,-0.15,-0.0013,7082.0,-4693.0,0.0,712.0,14761.0,118.88,15707.51953,3170900,73.0,12059.55957,4590530000,4129.790039,3772080000,0.4797777928324639
